Title,Authors,Publication Year,Total Citations,Average per Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
The evolution of phosphatidylinositol 3-kinases as regulators of growth and metabolism,"Engelman, Jeffrey A.; Luo, Ji; Cantley, Lewis C.",2006,1811,129.36,0,0,0,0,0,0,4,65,95,119,152,159,168,167,179,182,170,147
Network medicine: a network-based approach to human disease,"Barabasi, Albert-Laszlo; Gulbahce, Natali; Loscalzo, Joseph",2011,1776,197.33,0,0,0,0,0,0,0,0,0,0,0,49,150,199,255,243,259,241
"Genome-wide association studies for complex traits: consensus, uncertainty and challenges","McCarthy, Mark I.; Abecasis, Goncalo R.; Cardon, Lon R.; Goldstein, David B.; Little, Julian; Ioannidis, John P. A.; Hirschhorn, Joel N.",2008,1744,145.33,0,0,0,0,0,0,0,0,48,220,232,218,180,171,163,124,124,117
Network motifs: theory and experimental approaches,"Alon, Uri",2007,1587,122.08,0,0,0,0,0,0,0,7,70,104,139,142,174,135,163,136,173,137
DNA methylation landscapes: provocative insights from epigenomics,"Suzuki, Miho M.; Bird, Adrian",2008,1565,130.42,0,0,0,0,0,0,0,0,11,91,144,150,136,162,177,158,165,160
"Establishing, maintaining and modifying DNA methylation patterns in plants and animals","Law, Julie A.; Jacobsen, Steven E.",2010,1525,152.5,0,0,0,0,0,0,0,0,0,0,37,93,148,160,209,187,217,190
Genomic imprinting: Parental influence on the genome,"Reik, W; Walter, J",2001,1524,80.21,0,33,69,77,104,88,102,90,100,86,96,124,106,97,87,74,57,55
Listening to silence and understanding nonsense: Exonic mutations that affect splicing,"Cartegni, L; Chew, SL; Krainer, AR",2002,1460,81.11,0,0,20,84,114,144,125,106,98,107,100,83,62,75,78,61,50,66
DNA methylation and human disease,"Robertson, KD",2005,1450,96.67,0,0,0,0,0,4,51,79,70,70,82,102,103,115,145,118,141,143
Progress and problems with the use of viral vectors for gene therapy,"Thomas, CE; Ehrhardt, A; Kay, MA",2003,1442,84.82,0,0,0,13,57,75,60,49,61,65,78,104,82,89,123,117,135,139
Stochasticity in gene expression: From theories to phenotypes,"Kaern, M; Elston, TC; Blake, WJ; Collins, JJ",2005,1428,95.2,0,0,0,0,0,9,91,94,127,114,118,127,115,112,94,103,94,88
Insights into the regulation of protein abundance from proteomic and transcriptomic analyses,"Vogel, Christine; Marcotte, Edward M.",2012,1393,174.13,0,0,0,0,0,0,0,0,0,0,0,0,15,77,180,228,259,255
Environmental epigenomics and disease susceptibility,"Jirtle, Randy L.; Skinner, Michael K.",2007,1377,105.92,0,0,0,0,0,0,0,11,90,103,121,141,154,135,142,122,113,107
Small silencing RNAs: an expanding universe,"Ghildiyal, Megha; Zamore, Phillip D.",2009,1375,125,0,0,0,0,0,0,0,0,0,48,133,159,163,175,183,134,126,115
Neuronal specification in the spinal cord: Inductive signals and transcriptional codes,"Jessell, TM",2000,1373,68.65,2,32,93,89,77,104,83,92,79,85,89,74,78,75,63,65,57,56
"Chromosome territories, nuclear architecture and gene regulation in mammalian cells","Cremer, T; Cremer, C",2001,1347,70.89,0,10,68,71,89,80,90,90,61,83,75,77,74,76,74,60,83,82
The many roles of histone deacetylases in development and physiology: implications for disease and therapy,"Haberland, Michael; Montgomery, Rusty L.; Olson, Eric N.",2009,1326,120.55,0,0,0,0,0,0,0,0,0,23,116,120,112,136,147,119,149,148
Genome-wide association studies for common diseases and complex traits,"Hirschhorn, JN; Daly, MJ",2005,1318,87.87,0,0,0,0,0,56,130,144,65,53,80,111,127,99,98,82,90,76
To ERR (meiotically) is human: The genesis of human aneuploidy,"Hassold, T; Hunt, P",2001,1286,67.68,0,4,23,37,60,76,77,66,91,77,69,78,83,79,82,84,83,95
Cancer epigenomics: DNA methylomes and histone-modification maps,"Esteller, Manel",2007,1280,98.46,0,0,0,0,0,0,0,26,104,111,153,115,123,112,121,114,105,81
Chromatin modification and epigenetic reprogramming in mammalian development,"Li, E",2002,1268,70.44,0,0,0,53,81,98,104,87,82,77,85,97,80,74,75,73,61,61
Biological robustness,"Kitano, H",2004,1244,77.75,0,0,0,0,0,20,42,64,82,90,93,112,102,100,103,112,120,100
Linking DNA methylation and histone modification: patterns and paradigms,"Cedar, Howard; Bergman, Yehudit",2009,1240,112.73,0,0,0,0,0,0,0,0,0,13,107,113,137,129,138,158,142,138
Gene silencing by microRNAs: contributions of translational repression and mRNA decay,"Huntzinger, Eric; Izaurralde, Elisa",2011,1216,135.11,0,0,0,0,0,0,0,0,0,0,0,52,153,168,170,176,153,142
Plant immunity: towards an integrated view of plant-pathogen interactions,"Dodds, Peter N.; Rathjen, John P.",2010,1178,117.8,0,0,0,0,0,0,0,0,0,0,4,59,81,123,141,161,187,160
Genome-wide genetic marker discovery and genotyping using next-generation sequencing,"Davey, John W.; Hohenlohe, Paul A.; Etter, Paul D.; Boone, Jason Q.; Catchen, Julian M.; Blaxter, Mark L.",2011,1160,128.89,0,0,0,0,0,0,0,0,0,0,0,6,80,137,152,158,189,181
The epigenetic progenitor origin of human cancer,"Feinberg, AP; Ohlsson, R; Henikoff, S",2006,1141,81.5,0,0,0,0,0,0,44,112,95,87,107,114,103,103,91,65,81,65
Long non-coding RNAs: new players in cell differentiation and development,"Fatica, Alessandro; Bozzoni, Irene",2014,1099,183.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,119,192,264
A unified classification system for eukaryotic transposable elements,"Wicker, Thomas; Sabot, Francois; Hua-Van, Aurelie; Bennetzen, Jeffrey L.; Capy, Pierre; Chalhoub, Boulos; Flavell, Andrew; Leroy, Philippe; Morgante, Michele; Panaud, Olivier; Paux, Etienne; SanMiguel, Phillip; Schulman, Alan H.",2007,1097,84.38,0,0,0,0,0,0,0,1,38,64,71,71,94,99,107,111,115,130
Microsatellites: Simple sequences with complex evolution,"Ellegren, H",2004,1093,68.31,0,0,0,0,0,22,44,49,61,59,68,92,97,91,107,93,91,95
APPLICATIONS OF NEXT-GENERATION SEQUENCING The human microbiome: at the interface of health and disease,"Cho, Ilseung; Blaser, Martin J.",2012,1086,135.75,0,0,0,0,0,0,0,0,0,0,0,0,20,75,117,152,183,204
Animal models of human disease: zebrafish swim into view,"Lieschke, Graham J.; Currie, Peter D.",2007,1083,83.31,0,0,0,0,0,0,0,12,44,41,51,105,84,103,122,108,111,133
Non-viral vectors for gene-based therapy,"Yin, Hao; Kanasty, Rosemary L.; Eltoukhy, Ahmed A.; Vegas, Arturo J.; Dorkin, J. Robert; Anderson, Daniel G.",2014,1081,180.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,154,234,266
Advances in autism genetics: on the threshold of a new neurobiology,"Abrahams, Brett S.; Geschwind, Daniel H.",2008,1075,89.58,0,0,0,0,0,0,0,0,19,85,115,136,128,141,125,99,68,76
DNA methylation: roles in mammalian development,"Smith, Zachary D.; Meissner, Alexander",2013,1074,153.43,0,0,0,0,0,0,0,0,0,0,0,0,0,39,138,178,185,207
Structural variation in the human genome,"Feuk, L; Carson, AR; Scherer, SW",2006,1053,75.21,0,0,0,0,0,0,46,81,111,109,118,75,68,96,77,61,56,74
Genome editing with engineered zinc finger nucleases,"Urnov, Fyodor D.; Rebar, Edward J.; Holmes, Michael C.; Zhang, H. Steve; Gregory, Philip D.",2010,1013,101.3,0,0,0,0,0,0,0,0,0,0,3,89,97,126,157,134,134,112
Association study designs for complex diseases,"Cardon, LR; Bell, JI",2001,1011,53.21,0,20,58,70,95,127,92,86,85,78,42,55,53,37,27,33,20,12
Gene silencing in mammals by small interfering RNAs,"McManus, MT; Sharp, PA",2002,1009,56.06,0,0,5,131,163,125,88,53,60,57,43,37,51,24,39,42,30,29
Genetic regulation of osteoclast development and function,"Teitelbaum, SL; Ross, FP",2003,996,58.59,0,0,0,3,23,52,50,67,57,72,69,62,68,76,72,84,63,66
The advantages and disadvantages of being polyploid,"Comai, L",2005,969,64.6,0,0,0,0,0,0,18,26,38,44,59,61,70,73,96,94,95,126
Computational analysis of microarray data,"Quackenbush, J",2001,952,50.11,0,9,94,86,80,99,96,67,54,57,55,47,42,38,23,24,29,25
Micromanagers of gene expression: the potentially widespread influence of metazoan microRNAs,"Bartel, DP; Chen, CZ",2004,938,58.63,0,0,0,0,10,39,53,60,67,70,80,73,79,71,59,82,64,56
The primary cilium: a signalling centre during vertebrate development,"Goetz, Sarah C.; Anderson, Kathryn V.",2010,937,93.7,0,0,0,0,0,0,0,0,0,0,15,90,95,102,114,132,104,115
The evolution of gene regulation by transcription factors and microRNAs,"Chen, Kevin; Rajewsky, Nikolaus",2007,934,71.85,0,0,0,0,0,0,0,20,44,44,50,60,54,79,139,120,103,90
"RNA sequencing: advances, challenges and opportunities","Ozsolak, Fatih; Milos, Patrice M.",2011,924,102.67,0,0,0,0,0,0,0,0,0,0,0,31,103,130,121,123,129,145
Transposable elements and the epigenetic regulation of the genome,"Slotkin, R. Keith; Martienssen, Robert",2007,921,70.85,0,0,0,0,0,0,0,13,51,71,62,78,72,98,93,72,84,94
Exome sequencing as a tool for Mendelian disease gene discovery,"Bamshad, Michael J.; Ng, Sarah B.; Bigham, Abigail W.; Tabor, Holly K.; Emond, Mary J.; Nickerson, Deborah A.; Shendure, Jay",2011,915,101.67,0,0,0,0,0,0,0,0,0,0,0,0,99,157,147,155,133,92
"Telomeres and human disease: Ageing, cancer and beyond","Blasco, MA",2005,908,60.53,0,0,0,0,0,0,39,64,69,54,54,55,61,67,72,97,86,90
Mitochondrial DNA mutations in human disease,"Taylor, RW; Turnbull, DM",2005,884,58.93,0,0,0,0,0,11,46,47,51,57,67,56,56,62,77,88,81,82
VIEWPOINT Missing heritability and strategies for finding the underlying causes of complex disease,"Eichler, Evan E.; Flint, Jonathan; Gibson, Greg; Kong, Augustine; Leal, Suzanne M.; Moore, Jason H.; Nadeau, Joseph H.",2010,880,88,0,0,0,0,0,0,0,0,0,0,20,84,127,133,134,91,104,80
Principles and challenges of genome-wide DNA methylation analysis,"Laird, Peter W.",2010,877,87.7,0,0,0,0,0,0,0,0,0,0,53,80,109,122,105,126,96,71
Microarray data analysis: from disarray to consolidation and consensus,"Allison, DB; Cui, XQ; Page, GP; Sabripour, M",2006,875,62.5,0,0,0,0,0,0,55,100,98,99,87,91,75,52,48,46,38,36
ChIP-seq: advantages and challenges of a maturing technology,"Park, Peter J.",2009,870,79.09,0,0,0,0,0,0,0,0,0,1,80,120,118,115,109,106,72,62
Alu repeats and human genomic diversity,"Batzer, MA; Deininger, PL",2002,860,47.78,0,0,6,40,38,61,63,63,47,53,49,67,70,48,45,58,36,45
The rapid evolution of reproductive proteins,"Swanson, WJ; Vacquier, VD",2002,849,47.17,0,0,13,37,44,67,57,53,67,53,45,61,47,54,57,39,40,46
The evolutionary significance of cis-regulatory mutations,"Wray, Gregory A.",2007,830,63.85,0,0,0,0,0,0,0,24,65,72,77,70,68,65,73,84,81,70
"NON-CODING RNA MicroRNAs and their targets: recognition, regulation and an emerging reciprocal relationship","Pasquinelli, Amy E.",2012,826,103.25,0,0,0,0,0,0,0,0,0,0,0,0,29,100,115,117,113,148
"Histone methylation: a dynamic mark in health, disease and inheritance","Greer, Eric L.; Shi, Yang",2012,824,103,0,0,0,0,0,0,0,0,0,0,0,0,20,75,113,131,142,138
The genetics of mammalian circadian order and disorder: implications for physiology and disease,"Takahashi, Joseph S.; Hong, Hee-Kyung; Ko, Caroline H.; McDearmon, Erin L.",2008,820,68.33,0,0,0,0,0,0,0,0,3,39,87,93,83,92,84,82,71,68
Coming of age: ten years of next-generation sequencing technologies,"Goodwin, Sara; McPherson, John D.; McCombie, W. Richard",2016,805,201.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,251
Chromosomal stability and the DNA double-stranded break connection,"van Gent, DC; Hoeijmakers, JHJ; Kanaar, R",2001,804,42.32,0,11,45,74,69,50,66,50,52,45,42,51,31,31,43,39,41,32
RNA regulons: coordination of post-transcriptional events,"Keene, Jack D.",2007,798,61.38,0,0,0,0,0,0,0,7,60,73,68,76,90,64,84,59,73,65
Evolution experiments with microorganisms: The dynamics and genetic bases of adaptation,"Elena, SF; Lenski, RE",2003,787,46.29,0,0,0,3,27,30,45,42,47,53,51,66,70,55,54,56,57,62
Heterochromatin revisited,"Grewal, Shiv I. S.; Jia, Songtao",2007,780,60,0,0,0,0,0,0,0,46,80,79,83,86,63,54,62,64,49,54
Non-coding RNA genes and the modern RNA world,"Eddy, SR",2001,779,41,0,2,33,58,65,51,50,67,38,36,34,35,23,41,42,48,36,44
Time zones: A comparative genetics of circadian clocks,"Young, MW; Kay, SA",2001,778,40.95,0,5,56,83,60,69,58,65,39,44,49,39,34,25,28,36,27,25
The power and promise of population genomics: From genotyping to genome typing,"Luikart, G; England, PR; Tallmon, D; Jordan, S; Taberlet, P",2003,775,45.59,0,0,0,0,8,35,37,35,45,42,73,63,67,70,50,62,73,48
The impact of retrotransposons on human genome evolution,"Cordaux, Richard; Batzer, Mark A.",2009,773,70.27,0,0,0,0,0,0,0,0,0,1,40,79,88,85,95,81,90,89
Genome-wide association studies: Theoretical and practical concerns,"Wang, WYS; Barratt, BJ; Clayton, DG; Todd, JA",2005,772,51.47,0,0,0,0,0,51,92,93,102,79,71,58,52,38,39,27,26,24
Placental development: Lessons from mouse mutants,"Rossant, J; Cross, JC",2001,772,40.63,0,0,19,34,36,41,56,54,32,33,48,49,47,47,55,40,47,62
Detecting gene-gene interactions that underlie human diseases,"Cordell, Heather J.",2009,770,70,0,0,0,0,0,0,0,0,0,3,71,111,114,79,90,73,77,69
Epigenetics and the environment: emerging patterns and implications,"Feil, Robert; Fraga, Mario F.",2012,760,95,0,0,0,0,0,0,0,0,0,0,0,0,35,79,92,99,118,130
A tutorial on statistical methods for population association studies,"Balding, David J.",2006,759,54.21,0,0,0,0,0,0,2,35,69,97,93,78,74,50,47,51,53,52
MicroRNA profiling: approaches and considerations,"Pritchard, Colin C.; Cheng, Heather H.; Tewari, Muneesh",2012,755,94.38,0,0,0,0,0,0,0,0,0,0,0,0,13,66,100,125,116,154
Circadian rhythms from multiple oscillators: Lessons from diverse organisms,"Bell-Pedersen, D; Cassone, VM; Earnest, DJ; Golden, SS; Hardin, PE; Thomas, TL; Zoran, MJ",2005,752,50.13,0,0,0,0,0,5,41,52,48,44,48,56,62,50,53,64,66,64
Genotype imputation for genome-wide association studies,"Marchini, Jonathan; Howie, Bryan",2010,748,74.8,0,0,0,0,0,0,0,0,0,0,4,33,75,58,110,114,97,99
"A census of human transcription factors: function, expression and evolution","Vaquerizas, Juan M.; Kummerfeld, Sarah K.; Teichmann, Sarah A.; Luscombe, Nicholas M.",2009,747,67.91,0,0,0,0,0,0,0,0,0,9,36,55,63,76,100,83,94,103
Strategies for silencing human disease using RNA interference,"Kim, Daniel H.; Rossi, John J.",2007,737,56.69,0,0,0,0,0,0,0,33,78,94,67,74,70,80,57,58,32,34
Heritability in the genomics era - concepts and misconceptions,"Visscher, Peter M.; Hill, William G.; Wray, Naomi R.",2008,736,61.33,0,0,0,0,0,0,0,0,11,27,46,48,79,87,83,83,80,81
Endosymbiotic gene transfer: Organelle genomes forge eukaryotic chromosomes,"Timmis, JN; Ayliffe, MA; Huang, CY; Martin, W",2004,732,45.75,0,0,0,0,16,29,33,31,29,40,55,45,56,41,79,68,55,71
"Genotyping errors: Causes, consequences and solutions","Pompanon, F; Bonin, A; Bellemain, E; Taberlet, P",2005,729,48.6,0,0,0,0,0,1,11,44,47,54,66,63,64,74,66,41,57,62
DNA methylation in health and disease,"Robertson, KD; Wolffe, AP",2000,724,36.2,0,34,62,54,40,59,45,35,29,45,37,43,39,31,41,31,37,25
FUNDAMENTAL CONCEPTS IN GENETICS The genetics of inbreeding depression,"Charlesworth, Deborah; Willis, John H.",2009,719,65.36,0,0,0,0,0,0,0,0,0,0,20,43,84,75,77,79,95,90
Epistasis - the essential role of gene interactions in the structure and evolution of genetic systems,"Phillips, Patrick C.",2008,708,59,0,0,0,0,0,0,0,0,0,26,74,79,75,72,66,75,78,64
Uncovering the roles of rare variants in common disease through whole-genome sequencing,"Cirulli, Elizabeth T.; Goldstein, David B.",2010,701,70.1,0,0,0,0,0,0,0,0,0,0,26,84,112,93,82,86,76,70
JmjC-domain-containing proteins and histone demethylation,"Klose, Robert J.; Kallin, Eric M.; Zhang, Yi",2006,700,50,0,0,0,0,0,0,1,55,33,34,76,56,55,48,61,69,68,44
Tackling the widespread and critical impact of batch effects in high-throughput data,"Leek, Jeffrey T.; Scharpf, Robert B.; Bravo, Hector Corrada; Simcha, David; Langmead, Benjamin; Johnson, W. Evan; Geman, Donald; Baggerly, Keith; Irizarry, Rafael A.",2010,698,69.8,0,0,0,0,0,0,0,0,0,0,2,38,53,79,77,81,101,107
Applied bioinformatics for the identification of regulatory elements,"Wasserman, WW; Sandelin, A",2004,698,43.63,0,0,0,0,10,40,58,56,65,59,58,47,51,55,46,37,39,24
Patterns of linkage disequilibrium in the human genome,"Ardlie, KG; Kruglyak, L; Seielstad, M",2002,694,38.56,0,0,15,59,58,60,51,45,40,32,29,38,31,33,36,44,31,29
Rates of evolutionary change in viruses: patterns and determinants,"Duffy, Siobain; Shackelton, Laura A.; Holmes, Edward C.",2008,686,57.17,0,0,0,0,0,0,0,0,5,42,57,74,62,62,65,77,79,69
Phylogenomics and the reconstruction of the tree of life,"Delsuc, F; Brinkmann, H; Philippe, H",2005,686,45.73,0,0,0,0,0,7,39,72,55,44,52,61,53,54,44,51,40,50
Accessing genetic variation: Genotyping single nucleotide polymorphisms,"Syvanen, AC",2001,683,35.95,0,0,32,51,66,62,45,50,39,36,37,36,31,31,34,37,18,36
Building the mammalian heart from two sources of myocardial cells,"Buckingham, M; Meilhac, S; Zaffran, S",2005,678,45.2,0,0,0,0,0,0,31,46,62,64,61,57,60,47,52,38,50,38
Advances in understanding cancer genomes through second-generation sequencing,"Meyerson, Matthew; Gabriel, Stacey; Getz, Gad",2010,671,67.1,0,0,0,0,0,0,0,0,0,0,0,59,97,129,101,82,69,68
WNT and beta-catenin signalling: Diseases and therapies,"Moon, RT; Kohn, AD; De Ferrari, GV; Kaykas, A",2004,662,41.38,0,0,0,0,0,12,31,26,27,36,38,35,44,49,48,59,72,78
Effective population size and patterns of molecular evolution and variation,"Charlesworth, Brian",2009,654,59.45,0,0,0,0,0,0,0,0,0,12,40,35,43,64,78,72,79,81
Roadmap to embryo implantation: clues from mouse models,"Wang, HB; Dey, SK",2006,654,46.71,0,0,0,0,0,0,5,24,35,40,38,38,47,50,76,68,71,63
Genotype and SNP calling from next-generation sequencing data,"Nielsen, Rasmus; Paul, Joshua S.; Albrechtsen, Anders; Song, Yun S.",2011,651,72.33,0,0,0,0,0,0,0,0,0,0,0,12,65,85,115,88,93,72
Epigenome-wide association studies for common human diseases,"Rakyan, Vardhman K.; Down, Thomas A.; Balding, David J.; Beck, Stephan",2011,645,71.67,0,0,0,0,0,0,0,0,0,0,0,6,101,81,106,88,92,74
A framework for community and ecosystem genetics: from genes to ecosystems,"Whitham, Thomas G.; Bailey, Joseph K.; Schweitzer, Jennifer A.; Shuster, Stephen M.; Bangert, Randy K.; LeRoy, Carri J.; Lonsdorf, Eric V.; Allan, Gery J.; DiFazio, Stephen P.; Potts, Brad M.; Fischer, Dylan G.; Gehring, Catherine A.; Lindroth, Richard L.; Marks, Jane C.; Hart, Stephen C.; Wimp, Gina M.; Wooley, Stuart C.",2006,645,46.07,0,0,0,0,0,0,0,27,33,46,44,67,56,63,64,54,56,45
Transcription factors: from enhancer binding to developmental control,"Spitz, Francois; Furlong, Eileen E. M.",2012,644,80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,62,87,94,112,108
Horizontal gene transfer in eukaryotic evolution,"Keeling, Patrick J.; Palmer, Jeffrey D.",2008,632,52.67,0,0,0,0,0,0,0,0,6,39,55,56,67,62,67,74,65,63
Mechanisms of change in gene copy number,"Hastings, P. J.; Lupski, James R.; Rosenberg, Susan M.; Ira, Grzegorz",2009,625,56.82,0,0,0,0,0,0,0,0,0,7,74,72,68,75,67,76,59,57
Polycomb silencing mechanisms and the management of genomic programmes,"Schwartz, Yuri B.; Pirrotta, Vincenzo",2007,623,47.92,0,0,0,0,0,0,0,40,70,64,91,62,47,60,42,43,36,30
Unique features of long non-coding RNA biogenesis and function,"Quinn, Jeffrey J.; Chang, Howard Y.",2016,620,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,178
The evolution of plant sexual diversity,"Barrett, SCH",2002,620,34.44,0,0,1,6,17,20,36,25,20,32,37,35,50,54,50,54,52,48
Charting histone modifications and the functional organization of mammalian genomes,"Zhou, Vicky W.; Goren, Alon; Bernstein, Bradley E.",2011,619,68.78,0,0,0,0,0,0,0,0,0,0,0,28,65,92,88,98,91,75
Cleft lip and palate: understanding genetic and environmental influences,"Dixon, Michael J.; Marazita, Mary L.; Beaty, Terri H.; Murray, Jeffrey C.",2011,618,68.67,0,0,0,0,0,0,0,0,0,0,0,9,51,58,72,86,77,102
The genetics of quantitative traits: challenges and prospects,"Mackay, Trudy F. C.; Stone, Eric A.; Ayroles, Julien F.",2009,616,56,0,0,0,0,0,0,0,0,0,5,43,64,79,60,71,67,65,74
Opinion - Transposable elements and the evolution of regulatory networks,"Feschotte, Cedric",2008,612,51,0,0,0,0,0,0,0,0,0,49,46,59,56,61,61,53,70,60
Next-generation transcriptome assembly,"Martin, Jeffrey A.; Wang, Zhong",2011,611,67.89,0,0,0,0,0,0,0,0,0,0,0,2,47,95,84,121,91,73
Opinion - Inherited epigenetic variation - revisiting soft inheritance,"Richards, EJ",2006,611,43.64,0,0,0,0,0,0,8,34,39,47,50,45,56,54,61,54,46,56
Human genetic variation and its contribution to complex traits,"Frazer, Kelly A.; Murray, Sarah S.; Schork, Nicholas J.; Topol, Eric J.",2009,604,54.91,0,0,0,0,0,0,0,0,0,37,97,93,84,61,49,51,46,39
Candidate-gene approaches for studying complex genetic traits: practical considerations,"Tabor, HK; Risch, NJ; Myers, RM",2002,604,33.56,0,0,8,41,48,60,49,43,39,35,32,22,32,35,30,24,31,38
Synthetic biology: applications come of age,"Khalil, Ahmad S.; Collins, James J.",2010,602,60.2,0,0,0,0,0,0,0,0,0,0,15,53,77,74,77,74,73,54
Synonymous but not the same: the causes and consequences of codon bias,"Plotkin, Joshua B.; Kudla, Grzegorz",2011,600,66.67,0,0,0,0,0,0,0,0,0,0,0,25,56,77,73,74,92,79
RNAi-mediated pathways in the nucleus,"Matzke, MA; Birchler, JA",2005,599,39.93,0,0,0,0,0,58,80,86,69,67,46,47,42,29,21,15,15,12
The distribution of fitness effects of new mutations,"Eyre-Walker, Adam; Keightley, Peter D.",2007,598,46,0,0,0,0,0,0,0,4,26,35,48,45,50,63,52,46,66,68
Repetitive DNA and next-generation sequencing: computational challenges and solutions,"Treangen, Todd J.; Salzberg, Steven L.",2012,595,74.38,0,0,0,0,0,0,0,0,0,0,0,0,26,65,78,69,91,100
Adaptive evolution and explosive speciation: The cichlid fish model,"Kocher, TD",2004,595,37.19,0,0,0,0,9,19,23,33,31,39,54,39,39,52,57,43,43,39
APPLICATIONS OF NEXT-GENERATION SEQUENCING Genome structural variation discovery and genotyping,"Alkan, Can; Coe, Bradley P.; Eichler, Evan E.",2011,594,66,0,0,0,0,0,0,0,0,0,0,0,26,67,86,76,88,64,72
Classical twin studies and beyond,"Boomsma, D; Busjahn, A; Peltonen, L",2002,594,33,0,0,0,13,26,36,37,41,39,41,39,42,44,44,32,35,41,29
Epistasis: too often neglected in complex trait studies?,"Carlborg, O; Haley, CS",2004,593,37.06,0,0,0,0,2,25,37,48,46,44,55,47,50,38,57,48,26,31
The evolution of gene duplications: classifying and distinguishing between models,"Innan, Hideki; Kondrashov, Fyodor",2010,591,59.1,0,0,0,0,0,0,0,0,0,0,28,60,71,71,64,63,66,66
Splicing in disease: disruption of the splicing code and the decoding machinery,"Wang, Guey-Shin; Cooper, Thomas A.",2007,590,45.38,0,0,0,0,0,0,0,0,45,59,58,57,61,54,54,57,43,47
Gene map of the extended human MHC,"Horton, R; Wilming, L; Rand, V; Lovering, RC; Bruford, EA; Khodiyar, VK; Lush, MJ; Povey, S; Talbot, CC; WrighO, MW; Wain, HM; Trowsdale, J; Ziegler, A; Beck, S",2004,590,36.88,0,0,0,0,0,22,32,33,34,46,45,41,38,51,50,48,38,43
DISEASE MECHANISMS Genetic architectures of psychiatric disorders: the emerging picture and its implications,"Sullivan, Patrick F.; Daly, Mark J.; O'Donovan, Michael",2012,587,73.38,0,0,0,0,0,0,0,0,0,0,0,0,12,72,107,98,86,91
The genetic theory of adaptation: A brief history,"Orr, HA",2005,586,39.07,0,0,0,0,0,11,28,34,40,30,49,40,44,52,54,51,45,45
Post-transcriptional gene silencing by double-stranded RNA,"Hammond, SM; Caudy, AA; Hannon, GJ",2001,578,30.42,0,22,54,62,71,50,34,32,29,34,24,31,27,18,22,19,17,10
The human Y chromosome: An evolutionary marker comes of age,"Jobling, MA; Tyler-Smith, C",2003,573,33.71,0,0,0,3,36,39,45,61,47,43,39,45,27,33,26,37,24,36
Human and mouse proteases: A comparative genomic approach,"Puente, XS; Sanchez, LM; Overall, CM; Lopez-Otin, C",2003,571,33.59,0,0,0,4,24,35,38,44,54,41,43,45,44,41,35,26,18,39
Plant transposable elements: Where genetics meets genomics,"Feschotte, C; Jiang, N; Wessler, SR",2002,569,31.61,0,0,3,22,23,39,33,40,37,33,48,28,42,38,43,33,28,33
