Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,Article Number,DOI,Total Citations,Average per Year,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Association analyses of 249,796 individuals reveal 18 new loci associated with body mass index","Speliotes, Elizabeth K.; Willer, Cristen J.; Berndt, Sonja I.; Monda, Keri L.; Thorleifsson, Gudmar; Jackson, Anne U.; Allen, Hana Lango; Lindgren, Cecilia M.; Luan, Jian'an; Maegi, Reedik; Randall, Joshua C.; Vedantam, Sailaja; Winkler, Thomas W.; Qi, Lu; Workalemahu, Tsegaselassie; Heid, Iris M.; Steinthorsdottir, Valgerdur; Stringham, Heather M.; Weedon, Michael N.; Wheeler, Eleanor; Wood, Andrew R.; Ferreira, Teresa; Weyant, Robert J.; Segre, Ayellet V.; Estrada, Karol; Liang, Liming; Nemesh, James; Park, Ju-Hyun; Gustafsson, Stefan; Kilpelaenen, Tuomas O.; Yang, Jian; Bouatia-Naji, Nabila; Esko, Tonu; Feitosa, Mary F.; Kutalik, Zoltan; Mangino, Massimo; Raychaudhuri, Soumya; Scherag, Andre; Smith, Albert Vernon; Welch, Ryan; Zhao, Jing Hua; Aben, Katja K.; Absher, Devin M.; Amin, Najaf; Dixon, Anna L.; Fisher, Eva; Glazer, Nicole L.; Goddard, Michael E.; Heard-Costa, Nancy L.; Hoesel, Volker; Hottenga, Jouke-Jan; Johansson, Asa; Johnson, Toby; Ketkar, Shamika; Lamina, Claudia; Li, Shengxu; Moffatt, Miriam F.; Myers, Richard H.; Narisu, Narisu; Perry, John R. B.; Peters, Marjolein J.; Preuss, Michael; Ripatti, Samuli; Rivadeneira, Fernando; Sandholt, Camilla; Scott, Laura J.; Timpson, Nicholas J.; Tyrer, Jonathan P.; van Wingerden, Sophie; Watanabe, Richard M.; White, Charles C.; Wiklund, Fredrik; Barlassina, Christina; Chasman, Daniel I.; Cooper, Matthew N.; Jansson, John-Olov; Lawrence, Robert W.; Pellikka, Niina; Prokopenko, Inga; Shi, Jianxin; Thiering, Elisabeth; Alavere, Helene; Alibrandi, Maria T. S.; Almgren, Peter; Arnold, Alice M.; Aspelund, Thor; Atwood, Larry D.; Balkau, Beverley; Balmforth, Anthony J.; Bennett, Amanda J.; Ben-Shlomo, Yoav; Bergman, Richard N.; Bergmann, Sven; Biebermann, Heike; Blakemore, Alexandra I. F.; Boes, Tanja; Bonnycastle, Lori L.; Bornstein, Stefan R.; Brown, Morris J.; Buchanan, Thomas A.; Busonero, Fabio; Campbell, Harry; Cappuccio, Francesco P.; Cavalcanti-Proenca, Christine; Chen, Yii-Der Ida; Chen, Chih-Mei; Chines, Peter S.; Clarke, Robert; Coin, Lachlan; Connell, John; Day, Ian N. M.; den Heijer, Martin; Duan, Jubao; Ebrahim, Shah; Elliott, Paul; Elosua, Roberto; Eiriksdottir, Gudny; Erdos, Michael R.; Eriksson, Johan G.; Facheris, Maurizio F.; Felix, Stephan B.; Fischer-Posovszky, Pamela; Folsom, Aaron R.; Friedrich, Nele; Freimer, Nelson B.; Fu, Mao; Gaget, Stefan; Gejman, Pablo V.; Geus, Eco J. C.; Gieger, Christian; Gjesing, Anette P.; Goel, Anuj; Goyette, Philippe; Grallert, Harald; Graessler, Juergen; Greenawalt, Danielle M.; Groves, Christopher J.; Gudnason, Vilmundur; Guiducci, Candace; Hartikainen, Anna-Liisa; Hassanali, Neelam; Hall, Alistair S.; Havulinna, Aki S.; Hayward, Caroline; Heath, Andrew C.; Hengstenberg, Christian; Hicks, Andrew A.; Hinney, Anke; Hofman, Albert; Homuth, Georg; Hui, Jennie; Igl, Wilmar; Iribarren, Carlos; Isomaa, Bo; Jacobs, Kevin B.; Jarick, Ivonne; Jewell, Elizabeth; John, Ulrich; Jorgensen, Torben; Jousilahti, Pekka; Jula, Antti; Kaakinen, Marika; Kajantie, Eero; Kaplan, Lee M.; Kathiresan, Sekar; Kettunen, Johannes; Kinnunen, Leena; Knowles, Joshua W.; Kolcic, Ivana; Koenig, Inke R.; Koskinen, Seppo; Kovacs, Peter; Kuusisto, Johanna; Kraft, Peter; Kvaloy, Kirsti; Laitinen, Jaana; Lantieri, Olivier; Lanzani, Chiara; Launer, Lenore J.; Lecoeur, Cecile; Lehtimaeki, Terho; Lettre, Guillaume; Liu, Jianjun; Lokki, Marja-Liisa; Lorentzon, Mattias; Luben, Robert N.; Ludwig, Barbara; Manunta, Paolo; Marek, Diana; Marre, Michel; Martin, Nicholas G.; McArdle, Wendy L.; McCarthy, Anne; McKnight, Barbara; Meitinger, Thomas; Melander, Olle; Meyre, David; Midthjell, Kristian; Montgomery, Grant W.; Morken, Mario A.; Morris, Andrew P.; Mulic, Rosanda; Ngwa, Julius S.; Nelis, Mari; Neville, Matt J.; Nyholt, Dale R.; O'Donnell, Christopher J.; O'Rahilly, Stephen; Ong, Ken K.; Oostra, Ben; Pare, Guillaume; Parker, Alex N.; Perola, Markus; Pichler, Irene; Pietilaeinen, Kirsi H.; Platou, Carl G. P.; Polasek, Ozren; Pouta, Anneli; Rafelt, Suzanne; Raitakari, Olli; Rayner, Nigel W.; Ridderstrale, Martin; Rief, Winfried; Ruokonen, Aimo; Robertson, Neil R.; Rzehak, Peter; Salomaa, Veikko; Sanders, Alan R.; Sandhu, Manjinder S.; Sanna, Serena; Saramies, Jouko; Savolainen, Markku J.; Scherag, Susann; Schipf, Sabine; Schreiber, Stefan; Schunkert, Heribert; Silander, Kaisa; Sinisalo, Juha; Siscovick, David S.; Smit, Jan H.; Soranzo, Nicole; Sovio, Ulla; Stephens, Jonathan; Surakka, Ida; Swift, Amy J.; Tammesoo, Mari-Liis; Tardif, Jean-Claude; Teder-Laving, Maris; Teslovich, Tanya M.; Thompson, John R.; Thomson, Brian; Toenjes, Anke; Tuomi, Tiinamaija; van Meurs, Joyce B. J.; van Ommen, Gert-Jan; Vatin, Vincent; Viikari, Jorma; Visvikis-Siest, Sophie; Vitart, Veronique; Vogel, Carla I. G.; Voight, Benjamin F.; Waite, Lindsay L.; Wallaschofski, Henri; Walters, G. Bragi; Widen, Elisabeth; Wiegand, Susanna; Wild, Sarah H.; Willemsen, Gonneke; Witte, Daniel R.; Witteman, Jacqueline C.; Xu, Jianfeng; Zhang, Qunyuan; Zgaga, Lina; Ziegler, Andreas; Zitting, Paavo; Beilby, John P.; Farooqi, I. Sadaf; Hebebrand, Johannes; Huikuri, Heikki V.; James, Alan L.; Kaehoenen, Mika; Levinson, Douglas F.; Macciardi, Fabio; Nieminen, Markku S.; Ohlsson, Claes; Palmer, Lyle J.; Ridker, Paul M.; Stumvoll, Michael; Beckmann, Jacques S.; Boeing, Heiner; Boerwinkle, Eric; Boomsma, Dorret I.; Caulfield, Mark J.; Chanock, Stephen J.; Collins, Francis S.; Cupples, L. Adrienne; Smith, George Davey; Erdmann, Jeanette; Froguel, Philippe; Greonberg, Henrik; Gyllensten, Ulf; Hall, Per; Hansen, Torben; Harris, Tamara B.; Hattersley, Andrew T.; Hayes, Richard B.; Heinrich, Joachim; Hu, Frank B.; Hveem, Kristian; Illig, Thomas; Jarvelin, Marjo-Riitta; Kaprio, Jaakko; Karpe, Fredrik; Khaw, Kay-Tee; Kiemeney, Lambertus A.; Krude, Heiko; Laakso, Markku; Lawlor, Debbie A.; Metspalu, Andres; Munroe, Patricia B.; Ouwehand, Willem H.; Pedersen, Oluf; Penninx, Brenda W.; Peters, Annette; Pramstaller, Peter P.; Quertermous, Thomas; Reinehr, Thomas; Rissanen, Aila; Rudan, Igor; Samani, Nilesh J.; Schwarz, Peter E. H.; Shuldiner, Alan R.; Spector, Timothy D.; Tuomilehto, Jaakko; Uda, Manuela; Uitterlinden, Andre; Valle, Timo T.; Wabitsch, Martin; Waeber, Gerard; Wareham, Nicholas J.; Watkins, Hugh; Wilson, James F.; Wright, Alan F.; Zillikens, M. Carola; Chatterjee, Nilanjan; McCarroll, Steven A.; Purcell, Shaun; Schadt, Eric E.; Visscher, Peter M.; Assimes, Themistocles L.; Borecki, Ingrid B.; Deloukas, Panos; Fox, Caroline S.; Groop, Leif C.; Haritunians, Talin; Hunter, David J.; Kaplan, Robert C.; Mohlke, Karen L.; O'Connell, Jeffrey R.; Peltonen, Leena; Schlessinger, David; Strachan, David P.; van Duijn, Cornelia M.; Wichmann, H-Erich; Frayling, Timothy M.; Thorsteinsdottir, Unnur; Abecasis, Goncalo R.; Barroso, Ines; Boehnke, Michael; Stefansson, Kari; North, Kari E.; McCarthy, Mark I.; Hirschhorn, Joel N.; Ingelsson, Erik; Loos, Ruth J. F.",MAGIC,,,NATURE GENETICS,Nov-10,2010,42,11,937,U53,,10.1038/ng.686,1701,170.1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,115,223,260,249,253,186,182
The role of microRNA-1 and microRNA-133 in skeletal muscle proliferation and differentiation,"Chen, JF; Mandel, EM; Thomson, JM; Wu, QL; Callis, TE; Hammond, SM; Conlon, FL; Wang, DZ",,,,NATURE GENETICS,Feb-06,2006,38,2,228,233,,10.1038/ng1725,1689,120.64,0,0,0,0,0,0,0,0,0,28,71,102,113,139,143,149,159,153,165,141,142
Genome-wide association of IL28B with response to pegylated interferon-alpha and ribavirin therapy for chronic hepatitis C,"Tanaka, Yasuhito; Nishida, Nao; Sugiyama, Masaya; Kurosaki, Masayuki; Matsuura, Kentaro; Sakamoto, Naoya; Nakagawa, Mina; Korenaga, Masaaki; Hino, Keisuke; Hige, Shuhei; Ito, Yoshito; Mita, Eiji; Tanaka, Eiji; Mochida, Satoshi; Murawaki, Yoshikazu; Honda, Masao; Sakai, Akito; Hiasa, Yoichi; Nishiguchi, Shuhei; Koike, Asako; Sakaida, Isao; Imamura, Masatoshi; Ito, Kiyoaki; Yano, Koji; Masaki, Naohiko; Sugauchi, Fuminaka; Izumi, Namiki; Tokunaga, Katsushi; Mizokami, Masashi",,,,NATURE GENETICS,Oct-09,2009,41,10,1105,U81,,10.1038/ng.449,1682,152.91,0,0,0,0,0,0,0,0,0,0,0,0,5,110,281,326,231,263,185,106,101
A molecular signature of metastasis in primary solid tumors,"Ramaswamy, S; Ross, KN; Lander, ES; Golub, TR",,,,NATURE GENETICS,Jan-03,2003,33,1,49,54,,10.1038/ng1060,1664,97.88,0,0,0,0,0,0,58,159,148,148,149,140,130,127,102,101,73,85,54,52,61
TGF-beta signaling in tumor suppression and cancer progression,"Derynck, R; Akhurst, RJ; Balmain, A",,,,NATURE GENETICS,Oct-01,2001,29,2,117,129,,10.1038/ng1001-117,1651,86.89,0,0,0,0,2,54,95,123,111,116,117,93,91,125,101,94,75,98,96,74,83
A gene expression map of Arabidopsis thaliana development,"Schmid, M; Davison, TS; Henz, SR; Pape, UJ; Demar, M; Vingron, M; Scholkopf, B; Weigel, D; Lohmann, JU",,,,NATURE GENETICS,May-05,2005,37,5,501,506,,10.1038/ng1543,1642,109.47,0,0,0,0,0,0,0,0,19,96,108,146,142,155,132,120,137,122,118,117,101
Systematic determination of genetic network architecture,"Tavazoie, S; Hughes, JD; Campbell, MJ; Cho, RJ; Church, GM",,,,NATURE GENETICS,Jul-99,1999,22,3,281,285,,,1634,77.81,0,0,7,54,75,115,122,116,147,126,134,119,109,88,70,74,58,59,36,36,44
Network motifs in the transcriptional regulation network of Escherichia coli,"Shen-Orr, SS; Milo, R; Mangan, S; Alon, U",,,,NATURE GENETICS,May-02,2002,31,1,64,68,,10.1038/ng881,1633,90.72,0,0,0,0,0,8,52,92,98,109,119,122,128,125,123,125,88,91,88,81,63
The Genotype-Tissue Expression (GTEx) project,"Lonsdale, John; Thomas, Jeffrey; Salvatore, Mike; Phillips, Rebecca; Lo, Edmund; Shad, Saboor; Hasz, Richard; Walters, Gary; Garcia, Fernando; Young, Nancy; Foster, Barbara; Moser, Mike; Karasik, Ellen; Gillard, Bryan; Ramsey, Kimberley; Sullivan, Susan; Bridge, Jason; Magazine, Harold; Syron, John; Fleming, Johnelle; Siminoff, Laura; Traino, Heather; Mosavel, Maghboeba; Barker, Laura; Jewell, Scott; Rohrer, Dan; Maxim, Dan; Filkins, Dana; Harbach, Philip; Cortadillo, Eddie; Berghuis, Bree; Turner, Lisa; Hudson, Eric; Feenstra, Kristin; Sobin, Leslie; Robb, James; Branton, Phillip; Korzeniewski, Greg; Shive, Charles; Tabor, David; Qi, Liqun; Groch, Kevin; Nampally, Sreenath; Buia, Steve; Zimmerman, Angela; Smith, Anna; Burges, Robin; Robinson, Karna; Valentino, Kim; Bradbury, Deborah; Cosentino, Mark; Diaz-Mayoral, Norma; Kennedy, Mary; Engel, Theresa; Williams, Penelope; Erickson, Kenyon; Ardlie, Kristin; Winckler, Wendy; Getz, Gad; DeLuca, David; MacArthur, Daniel; Kellis, Manolis; Thomson, Alexander; Young, Taylor; Gelfand, Ellen; Donovan, Molly; Meng, Yan; Grant, George; Mash, Deborah; Marcus, Yvonne; Basile, Margaret; Liu, Jun; Zhu, Jun; Tu, Zhidong; Cox, Nancy J.; Nicolae, Dan L.; Gamazon, Eric R.; Im, Hae Kyung; Konkashbaev, Anuar; Pritchard, Jonathan; Stevens, Matthew; Flutre, Timothee; Wen, Xiaoquan; Dermitzakis, Emmanouil T.; Lappalainen, Tuuli; Guigo, Roderic; Monlong, Jean; Sammeth, Michael; Koller, Daphne; Battle, Alexis; Mostafavi, Sara; McCarthy, Mark; Rivas, Manual; Maller, Julian; Rusyn, Ivan; Nobel, Andrew; Wright, Fred; Shabalin, Andrey; Feolo, Mike; Sharopova, Nataliya; Sturcke, Anne; Paschal, Justin; Anderson, James M.; Wilder, Elizabeth L.; Derr, Leslie K.; Green, Eric D.; Struewing, Jeffery P.; Temple, Gary; Volpi, Simona; Boyer, Joy T.; Thomson, Elizabeth J.; Guyer, Mark S.; Cathy Ng; Abdallah, Assya; Colantuoni, Deborah; Insel, Thomas R.; Koester, Susan E.; Little, A. Roger; Bender, Patrick K.; Lehner, Thomas; Yao, Yin; Compton, Carolyn C.; Vaught, Jimmie B.; Sawyer, Sherilyn; Lockhart, Nicole C.; Demchok, Joanne; Moore, Helen F.",,,,NATURE GENETICS,Jun-13,2013,45,6,580,585,,10.1038/ng.2653,1631,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,93,169,239,374
The Oct4 and Nanog transcription network regulates pluripotency in mouse embryonic stem cells,"Loh, YH; Wu, Q; Chew, JL; Vega, VB; Zhang, WW; Chen, X; Bourque, G; George, J; Leong, B; Liu, J; Wong, KY; Sung, KW; Lee, CWH; Zhao, XD; Chiu, KP; Lipovich, L; Kuznetsov, VA; Robson, P; Stanton, LW; Wei, CL; Ruan, YJ; Lim, B; Ng, HH",,,,NATURE GENETICS,Apr-06,2006,38,4,431,440,,10.1038/ng1760,1631,116.5,0,0,0,0,0,0,0,0,0,39,109,154,171,153,146,143,159,125,122,93,84
Exploring the new world of the genome with DNA microarrays,"Brown, PO; Botstein, D",,,,NATURE GENETICS,Jan-99,1999,21,,33,37,,10.1038/4462,1631,77.67,0,0,40,122,163,182,149,155,117,107,81,70,72,65,62,48,45,40,33,29,19
Common loss-of-function variants of the epidermal barrier protein filaggrin are a major predisposing factor for atopic dermatitis,"Palmer, CNA; Irvine, AD; Terron-Kwiatkowski, A; Zhao, YW; Liao, HH; Lee, SP; Goudie, DR; Sandilands, A; Campbell, LE; Smith, FJD; O'Regan, GM; Watson, RM; Cecil, JE; Bale, SJ; Compton, JG; DiGiovanna, JJ; Fleckman, P; Lewis-Jones, S; Arseculeratne, G; Sergeant, A; Munro, CS; El Houate, B; McElreavey, K; Halkjaer, LB; Bisgaard, H; Mukhopadhyay, S; McLean, WHI",,,,NATURE GENETICS,Apr-06,2006,38,4,441,446,,10.1038/ng1767,1622,115.86,0,0,0,0,0,0,0,0,0,35,84,128,135,129,129,139,125,129,125,142,140
